series,episode,baker,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
3,9,James,NA,NA,NA,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,STAR BAKER
3,9,John,NA,NA,NA,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,2,IN
3,10,Brendan,NA,NA,NA,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,2,Runner-up
3,10,James,NA,NA,NA,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,1,Runner-up
3,10,John,NA,NA,NA,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,2,WINNER
4,1,Ali,NA,NA,NA,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN
4,1,Beca,NA,NA,NA,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8,IN
4,1,Christine,NA,NA,NA,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,3,IN
4,1,Deborah,NA,NA,NA,Pineapple Cake,'Coffee Time',9,IN
4,1,Frances,NA,NA,NA,Giant Jam Sandwich,Secret Squirrel Cake,7,IN
4,1,Glenn,NA,NA,NA,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,4,IN
4,1,Howard,NA,NA,NA,Passion Fruit and Coconut Cake,Black Forest Revisited,6,IN
4,1,Kimberley,NA,NA,NA,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",10,IN
4,1,Lucy,NA,NA,NA,Timperley Early Cake,Thyme 'Wildwood' Cake,2,IN
4,1,Mark,NA,NA,NA,Lemon and Poppy Seed Cake,Chocolate Monster,5,IN
4,1,Robert,NA,NA,NA,Pecan and Apple Cake,Raspberry Chocolate Cake,1,STAR BAKER
4,1,Ruby,NA,NA,NA,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,12,IN
4,1,Toby,NA,NA,NA,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,13,OUT
4,2,Ali,NA,NA,NA,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN
4,2,Beca,NA,NA,NA,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11,IN
4,2,Christine,NA,NA,NA,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,4,IN
4,2,Deborah,NA,NA,NA,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,8,IN
4,2,Frances,NA,NA,NA,Giant Matchsticks,Sailor's Knot,2,IN
4,2,Glenn,NA,NA,NA,Rosemary and Parmesan Grissini,Harvest Crown,7,IN
4,2,Howard,NA,NA,NA,Moroccan Breadsticks,Picasso Sun Bread,10,IN
4,2,Kimberley,NA,NA,NA,Nigella Seed and Parmesan Breadsticks,Peace Bread,1,IN
4,2,Lucy,NA,NA,NA,Grissini with Salt,Roast Tomato Bread,12,OUT
4,2,Mark,NA,NA,NA,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,6,IN
4,2,Robert,NA,NA,NA,Twisty Rye Bread Sticks,Tribute Loaf,5,IN
4,2,Ruby,NA,NA,NA,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,3,STAR BAKER
4,3,Ali,NA,NA,NA,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN
4,3,Beca,NA,NA,NA,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10,IN
4,3,Christine,NA,NA,NA,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,4,STAR BAKER
4,3,Deborah,NA,NA,NA,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,9,OUT
4,3,Frances,NA,NA,NA,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,8,IN
4,3,Glenn,NA,NA,NA,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,1,IN
4,3,Howard,NA,NA,NA,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,7,IN
4,3,Kimberley,NA,NA,NA,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,6,IN
4,3,Mark,NA,NA,NA,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,11,OUT
4,3,Robert,NA,NA,NA,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,2,IN
4,3,Ruby,NA,NA,NA,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,3,IN
4,4,Ali,NA,NA,NA,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT
4,4,Beca,NA,NA,NA,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2,IN
4,4,Christine,NA,NA,NA,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,7,IN
4,4,Frances,NA,NA,NA,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,1,IN
4,4,Glenn,NA,NA,NA,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),9,IN
4,4,Howard,NA,NA,NA,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,5,IN
4,4,Kimberley,NA,NA,NA,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",4,STAR BAKER
4,4,Robert,NA,NA,NA,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,3,IN
4,4,Ruby,NA,NA,NA,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",6,IN
4,5,Beca,NA,NA,NA,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,5,IN
4,5,Christine,NA,NA,NA,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,1,STAR BAKER
4,5,Frances,NA,NA,NA,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,3,IN
4,5,Glenn,NA,NA,NA,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,2,IN
4,5,Howard,NA,NA,NA,Breakfast Traybake,Japanese Pagoda Tea Tower,8,IN
4,5,Kimberley,NA,NA,NA,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,7,IN
4,5,Robert,NA,NA,NA,Blueberry & Orange Traybake,Dalek,4,OUT
4,5,Ruby,NA,NA,NA,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,6,IN
4,6,Beca,NA,NA,NA,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,6,IN
4,6,Christine,NA,NA,NA,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,4,IN
4,6,Frances,NA,NA,NA,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,2,IN
4,6,Glenn,NA,NA,NA,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,5,IN
4,6,Howard,NA,NA,NA,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,7,OUT
4,6,Kimberley,NA,NA,NA,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,3,IN
4,6,Ruby,NA,NA,NA,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,1,STAR BAKER
4,7,Beca,NA,NA,NA,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,1,IN
4,7,Christine,NA,NA,NA,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,6,IN
4,7,Frances,NA,NA,NA,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,5,STAR BAKER
4,7,Glenn,NA,NA,NA,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,3,OUT
4,7,Kimberley,NA,NA,NA,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4,IN
4,7,Ruby,NA,NA,NA,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,2,IN
4,8,Beca,NA,NA,NA,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,4,IN
4,8,Christine,NA,NA,NA,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,5,OUT
4,8,Frances,NA,NA,NA,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3,IN
4,8,Kimberley,NA,NA,NA,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,2,IN
4,8,Ruby,NA,NA,NA,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,1,STAR BAKER
4,9,Beca,NA,NA,NA,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,3,OUT
4,9,Frances,NA,NA,NA,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,2,IN
4,9,Kimberley,NA,NA,NA,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,1,STAR BAKER
4,9,Ruby,NA,NA,NA,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,IN
4,10,Frances,NA,NA,NA,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,3,WINNER
4,10,Kimberley,NA,NA,NA,Chicken and Pig Pie,Languages of Love Wedding Cake,1,Runner-up
4,10,Ruby,NA,NA,NA,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",2,Runner-up
5,1,Chetna,NA,NA,NA,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,3,IN
5,1,Claire,NA,NA,NA,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,8,OUT
5,1,Diana,NA,NA,NA,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,5,IN
5,1,Enwezor,NA,NA,NA,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,9,IN
5,1,Iain,NA,NA,NA,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4,IN
5,1,Jordan,NA,NA,NA,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,12,IN
5,1,Kate,NA,NA,NA,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,6,IN
5,1,Luis,NA,NA,NA,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,7,IN
5,1,Martha,NA,NA,NA,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,2,IN
5,1,Nancy,NA,NA,NA,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,1,STAR BAKER
5,1,Norman,NA,NA,NA,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,11,IN
5,1,Richard,NA,NA,NA,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,10,IN
5,2,Chetna,NA,NA,NA,Fenugreek and Carom Crackers,Day On The Beach,8,IN
5,2,Diana,NA,NA,NA,Parmesan Triangles,"Express, First Class",7,IN
5,2,Enwezor,NA,NA,NA,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,9,OUT
5,2,Iain,NA,NA,NA,Za'atar and Fig Biscuits,Wild West Scene,11,IN
5,2,Jordan,NA,NA,NA,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,6,IN
5,2,Kate,NA,NA,NA,Parmesan and Apple Biscuits,Tea Time,4,IN
5,2,Luis,NA,NA,NA,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,3,IN
5,2,Martha,NA,NA,NA,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,5,IN
5,2,Nancy,NA,NA,NA,Fennel and Rye Thins,Hansel and Gretel Scene,2,IN
5,2,Norman,NA,NA,NA,Farthing Biscuits,Zulu Boats at Dawn,10,IN
5,2,Richard,NA,NA,NA,Rosemary Seeded Crackers,Pirates!,1,STAR BAKER
5,3,Chetna,NA,NA,NA,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,8,IN
5,3,Diana,NA,NA,NA,Rustic Picnic Rolls,Sharing Savoury Pinwheel,7,IN
5,3,Iain,NA,NA,NA,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,9,IN
5,3,Jordan,NA,NA,NA,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,10,OUT
5,3,Kate,NA,NA,NA,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",1,IN
5,3,Luis,NA,NA,NA,Opposites Attract Rolls,Roscón de Reyes,2,STAR BAKER
5,3,Martha,NA,NA,NA,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,3,IN
5,3,Nancy,NA,NA,NA,Cider and Walnut Crusty Rolls,'Full English' Stromboli,5,IN
5,3,Norman,NA,NA,NA,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,4,IN
5,3,Richard,NA,NA,NA,Rye and Cranberry Rolls,Pesto Pinwheel,6,IN
5,4,Chetna,NA,NA,NA,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3,IN
5,4,Diana,NA,NA,NA,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,9,IN
5,4,Iain,NA,NA,NA,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,OUT
5,4,Kate,NA,NA,NA,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",7,IN
5,4,Luis,NA,NA,NA,Pears in Puddings,Bakewell Alaska,2,IN
5,4,Martha,NA,NA,NA,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,1,IN
5,4,Nancy,NA,NA,NA,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,4,IN
5,4,Norman,NA,NA,NA,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,8,IN
5,4,Richard,NA,NA,NA,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,5,STAR BAKER
5,5,Chetna,NA,NA,NA,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,2,IN
5,5,Kate,NA,NA,NA,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",3,STAR BAKER
5,5,Luis,NA,NA,NA,Tropical Manchester Tart,Four Fruity Seasons Tower,6,IN
5,5,Martha,NA,NA,NA,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,1,IN
5,5,Nancy,NA,NA,NA,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,4,IN
5,5,Norman,NA,NA,NA,Tarte au Citron,Pieful Tower,5,OUT
5,5,Richard,NA,NA,NA,Fig and Orange Tart,Three Course Autumn Pie Feast,7,IN
5,6,Chetna,NA,NA,NA,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,2,STAR BAKER
5,6,Kate,NA,NA,NA,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,6,IN
5,6,Luis,NA,NA,NA,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,3,IN
5,6,Martha,NA,NA,NA,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,4,IN
5,6,Nancy,NA,NA,NA,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,1,IN
5,6,Richard,NA,NA,NA,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,5,IN
5,7,Chetna,NA,NA,NA,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,6,IN
5,7,Kate,NA,NA,NA,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,4,OUT
5,7,Luis,NA,NA,NA,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",5,IN
5,7,Martha,NA,NA,NA,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,3,IN
5,7,Nancy,NA,NA,NA,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,2,IN
5,7,Richard,NA,NA,NA,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1,STAR BAKER
5,8,Chetna,NA,NA,NA,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,1,IN
5,8,Luis,NA,NA,NA,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",2,IN
5,8,Martha,NA,NA,NA,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,5,OUT
5,8,Nancy,NA,NA,NA,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",3,IN
5,8,Richard,NA,NA,NA,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,4,STAR BAKER
5,9,Chetna,NA,NA,NA,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",4,OUT
5,9,Luis,NA,NA,NA,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",1,IN
5,9,Nancy,NA,NA,NA,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,3,IN
5,9,Richard,NA,NA,NA,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,2,STAR BAKER
5,10,Luis,NA,NA,NA,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,2,Runner-up
5,10,Nancy,NA,NA,NA,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,1,WINNER
5,10,Richard,NA,NA,NA,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,3,Runner-up
6,1,Alvin,NA,NA,NA,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2,IN
6,1,Dorret,NA,NA,NA,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,5,IN
6,1,Flora,NA,NA,NA,Blood Orange Madeira Cake,Black Forest Gâteau,6,IN
6,1,Ian,NA,NA,NA,Somewhere West of Madeira Cake,Black Forest Cherry Tree,8,IN
6,1,Marie,NA,NA,NA,Zingy Citrus Madeira Cake,A Walk in the Black Forest,3,STAR BAKER
6,1,Mat,NA,NA,NA,Gin and Tonic Madeira Cake,Black Forest Gateau,7,IN
6,1,Nadiya,NA,NA,NA,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,12,IN
6,1,Paul,NA,NA,NA,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,10,IN
6,1,Sandy,NA,NA,NA,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,9,IN
6,1,Stu,NA,NA,NA,Marley Madeira Cake,Purple Forest Gâteau,11,OUT
6,1,Tamal,NA,NA,NA,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,4,IN
6,1,Ugnė,NA,NA,NA,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,1,IN
6,2,Alvin,NA,NA,NA,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6,IN
6,2,Dorret,NA,NA,NA,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,1,IN
6,2,Flora,NA,NA,NA,Wedding Biscotti,Honey and Earl Grey Tea Box,2,IN
6,2,Ian,NA,NA,NA,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,3,STAR BAKER
6,2,Marie,NA,NA,NA,Biscotti Italiano,Russian Box,11,OUT
6,2,Mat,NA,NA,NA,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,5,IN
6,2,Nadiya,NA,NA,NA,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,9,IN
6,2,Paul,NA,NA,NA,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,10,IN
6,2,Sandy,NA,NA,NA,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,4,IN
6,2,Tamal,NA,NA,NA,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,8,IN
6,2,Ugnė,NA,NA,NA,White Wine Biscotti,Baby Climbing into the Cookie Box,7,IN
6,3,Alvin,NA,NA,NA,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,4,IN
6,3,Dorret,NA,NA,NA,Walnut and Stilton Soda Breads,Unmade Bread,6,OUT
6,3,Flora,NA,NA,NA,Fig and Hazelnut Rye Breads,Herb Couture,2,IN
6,3,Ian,NA,NA,NA,Wild Garlic Pesto Soda Breads,Flour Power,1,STAR BAKER
6,3,Mat,NA,NA,NA,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,8,IN
6,3,Nadiya,NA,NA,NA,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,9,IN
6,3,Paul,NA,NA,NA,Cranberry and Orange Sweet Soda Breads,King of the Jungle,10,IN
6,3,Sandy,NA,NA,NA,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,7,IN
6,3,Tamal,NA,NA,NA,"Fig, Cheese and Walnut Breads",Breadcycle,3,IN
6,3,Ugnė,NA,NA,NA,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,5,IN
6,4,Alvin,NA,NA,NA,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,9,IN
